	US Population	CH Population	US Homicides	CH Homicides	US Firearms	CH Firearms
2017	325,719,000	#N/A	3,977,3	#N/A	42.00%	#N/A
2016	323,100,000	#N/A	3,865,8	#N/A	39.00%	#N/A
2015	321,442,000	8,327,126	36,247	23,1	41.00%	#N/A
2014	319,113,000	8,236,666	33,594	196	31.00%	#N/A
2013	316,129,000	#N/A	33,635	24,8	37.00%	#N/A
2012	313,874,000	#N/A	33,563	222	33.10%	#N/A
2011	311,583,000	#N/A	 32351	239	#N/A	#N/A
2010	309,330,000	#N/A	3,167,2	241	31.10%	#N/A
2009	307,007,000	7,785,800	31,347	277	#N/A	#N/A
2008	304,375,000	7,701,900	31,593	259	34.00%	#N/A
2007	301,580,000	7,593,500	31,224	291	#N/A	#N/A
2006	298,593,000	7,508,700	30,896	285	33.10%	#N/A
2005	295,753,000	7,459,100	30,694	299	#N/A	28.60%
2004	293,046,000	7,415,100	29,569	318	34.70%	#N/A
2003	290,326,000	7,364,100	30,136	339	#N/A	35.70%
2002	287,804,000	7,313,900	30,242	397	33.50%	#N/A
2001	285,082,000	7,255,700	29,573	408	#N/A	#N/A
2000	282,172,000	7,204,100	28,663	387	32.40%	#N/A
1999	279,040,000	#N/A	28,874	392	#N/A	35.70%
1998	275,854,000	#N/A	#N/A	466	34.80%	35.30%
1997	272,647,000	#N/A	#N/A	434	#N/A	#N/A
1996	269,394,000	#N/A	#N/A	454	40.10%	#N/A
1995	266,278,000	#N/A	#N/A	436	#N/A	35.30%
1980	227,225,000	6,335,200	#N/A	#N/A	47.30%	#N/A
1970	203,984,000	6,193,100	#N/A	#N/A	#N/A	#N/A
