Year	US Population	Category	US Homicides	US Firearms
2017	325,719,000	US	3,977,3	42.00%
2016	323,100,000	US	3,865,8	39.00%
2015	321,442,000	US	36,247	41.00%
2014	319,113,000	US	33,594	31.00%
2013	316,129,000	US	33,635	37.00%
2012	313,874,000	US	33,563	33.10%
2011	311,583,000	US	 32351	#N/A
2010	309,330,000	US	3,167,2	31.10%
2009	307,007,000	US	31,347	#N/A
2008	304,375,000	US	31,593	34.00%
2007	301,580,000	US	31,224	#N/A
2006	298,593,000	US	30,896	33.10%
2005	295,753,000	US	30,694	#N/A
2004	293,046,000	US	29,569	34.70%
2003	290,326,000	US	30,136	#N/A
2002	287,804,000	US	30,242	33.50%
2001	285,082,000	US	29,573	#N/A
2000	282,172,000	US	28,663	32.40%
1999	279,040,000	US	28,874	#N/A
1998	275,854,000	US	#N/A	34.80%
1997	272,647,000	US	#N/A	#N/A
1996	269,394,000	US	#N/A	40.10%
1995	266,278,000	US	#N/A	#N/A
1980	227,225,000	US	#N/A	47.30%
1970	203,984,000	US	#N/A	#N/A
2017	#N/A	CH	#N/A	#N/A
2016	#N/A	CH	#N/A	#N/A
2015	8,327,126	CH	23,1	#N/A
2014	8,236,666	CH	196	#N/A
2013	#N/A	CH	24,813	#N/A
2012	#N/A	CH	222	#N/A
2011	#N/A	CH	23,914	#N/A
2010	#N/A	CH	241	#N/A
2009	7,785,800	CH	277	#N/A
2008	7,701,900	CH	259	#N/A
2007	7,593,500	CH	291	#N/A
2006	7,508,700	CH	285	#N/A
2005	7,459,100	CH	299	28.60%
2004	7,415,100	CH	318	#N/A
2003	7,364,100	CH	339	35.70%
2002	7,313,900	CH	397	#N/A
2001	7,255,700	CH	408	#N/A
2000	7,204,100	CH	387	#N/A
1999	#N/A	CH	392	35.70%
1998	#N/A	CH	466	35.30%
1997	#N/A	CH	434	#N/A
1996	#N/A	CH	454	#N/A
1995	#N/A	CH	436	35.30%
1980	6,335,200	CH	#N/A	#N/A
1970	6,193,100	CH	#N/A	#N/A
