Year	Population	Country	Homicides	firearms of population	Guns	Homicides with guns of the population
2017	325719000	US	39773	42.00%	136801980	1.22%
2016	323100000	US	38658	39.00%	126009000	1.20%
2015	321442000	US	36247	41.00%	131791220	0.01%
2014	319113000	US	33594	31.00%	98925030	0.01%
2013	316129000	US	33635	37.00%	116967730	0.01%
2012	313874000	US	33563	33.00%	103578420	0.01%
2011	311583000	US				
2010	309330000	US	31672	31.00%	95892300	1.02%
2009	307007000	US	31347			0.01%
2008	304375000	US	31593	34.00%	103487500	0.01%
2007	301580000	US	31224			0.01%
2006	298593000	US	30896	33.00%	98535690	0.01%
2005	295753000	US	30694			0.01%
2004	293046000	US	29569	35.00%	102566100	0.01%
2003	290326000	US	30136			0.01%
2002	287804000	US	30242	34.00%	97853360	0.01%
2001	285082000	US	29573			0.01%
2000	282172000	US	28663	32.00%	90295040	0.01%
1999	279040000	US	28874			0.01%
1998	275854000	US		35.00%	96548900	
1997	272647000	US				
1996	269394000	US		40.00%	107757600	
1995	266278000	US				
1980	227225000	US		47.00%	106795750	
1970	203984000	US				
2017		CH				
2016		CH				
2015	8327126	CH	231			0.28%
2014	8236666	CH	196			0.00%
2013		CH	248			
2012		CH	222			
2011		CH	239			
2010		CH	241			
2009	7785800	CH	277			0.00%
2008	7701900	CH	259			0.00%
2007	7593500	CH	291			0.00%
2006	7508700	CH	285			0.00%
2005	7459100	CH	299	29.00%	2163139	0.00%
2004	7415100	CH	318			0.00%
2003	7364100	CH	339	36.00%	2651076	0.00%
2002	7313900	CH	397			0.01%
2001	7255700	CH	408			0.01%
2000	7204100	CH	387			0.01%
1999		CH	392	36.00%		
1998		CH	466	35.00%		
1997		CH	434			
1996		CH	454			
1995		CH	436	35.00%		
1980	6335200	CH				
1970	6193100	CH				
